No,Filename
1,WADMKC_Agrabinta_polygon_0
2,WADMKC_Andir_polygon_0
3,WADMKC_Anjatan_polygon_0
4,WADMKC_Antapani_polygon_0
5,WADMKC_Arahan_polygon_0
6,WADMKC_Arcamanik_polygon_0
7,WADMKC_Argapura_polygon_0
8,WADMKC_Arjasari_polygon_0
9,WADMKC_Arjawinangun_polygon_0
10,WADMKC_Astana Anyar_polygon_0
11,WADMKC_Astanajapura_polygon_0
12,WADMKC_Astanajapura_polygon_1
13,WADMKC_Astanajapura_polygon_2
14,WADMKC_Babakan Ciparay_polygon_0
15,WADMKC_Babakan Madang_polygon_0
16,WADMKC_Babakan_polygon_0
17,WADMKC_Babakan_polygon_1
18,WADMKC_Babakancikao_polygon_0
19,WADMKC_Babelan_polygon_0
20,WADMKC_Baleendah_polygon_0
21,WADMKC_Balongan_polygon_0
22,WADMKC_Bandung Kidul_polygon_0
23,WADMKC_Bandung Kulon_polygon_0
24,WADMKC_Bandung Wetan_polygon_0
25,WADMKC_Bangodua_polygon_0
26,WADMKC_Banjar_polygon_0
27,WADMKC_Banjaran_polygon_0
28,WADMKC_Banjaran_polygon_1
29,WADMKC_Banjaranyar_polygon_0
30,WADMKC_Banjarsari_polygon_0
31,WADMKC_Banjarwangi_polygon_0
32,WADMKC_Bantargadung_polygon_0
33,WADMKC_Bantargebang_polygon_0
34,WADMKC_Bantarkalong_polygon_0
35,WADMKC_Bantarujeg_polygon_0
36,WADMKC_Banyuresmi_polygon_0
37,WADMKC_Banyusari_polygon_0
38,WADMKC_Baregbeg_polygon_0
39,WADMKC_Baros_polygon_0
40,WADMKC_Batujajar_polygon_0
41,WADMKC_Batujaya_polygon_0
42,WADMKC_Batujaya_polygon_1
43,WADMKC_Batununggal_polygon_0
44,WADMKC_Bayongbong_polygon_0
45,WADMKC_Beber_polygon_0
46,WADMKC_Beji_polygon_0
47,WADMKC_Bekasi Barat_polygon_0
48,WADMKC_Bekasi Selatan_polygon_0
49,WADMKC_Bekasi Timur_polygon_0
50,WADMKC_Bekasi Utara_polygon_0
51,WADMKC_Binong_polygon_0
52,WADMKC_Bl. Limbangan_polygon_0
53,WADMKC_Blanakan_polygon_0
54,WADMKC_Bogor Barat_polygon_0
55,WADMKC_Bogor Selatan_polygon_0
56,WADMKC_Bogor Tengah_polygon_0
57,WADMKC_Bogor Timur_polygon_0
58,WADMKC_Bogor Utara_polygon_0
59,WADMKC_Bojong Gede_polygon_0
60,WADMKC_Bojong_polygon_0
61,WADMKC_Bojongasih_polygon_0
62,WADMKC_Bojonggambir_polygon_0
63,WADMKC_Bojonggenteng_polygon_0
64,WADMKC_Bojongloa Kaler_polygon_0
65,WADMKC_Bojongloa Kidul_polygon_0
66,WADMKC_Bojongmangu_polygon_0
67,WADMKC_Bojongpicung_polygon_0
68,WADMKC_Bojongsari_polygon_0
69,WADMKC_Bojongsoang_polygon_0
70,WADMKC_Bongas_polygon_0
71,WADMKC_Buahbatu_polygon_0
72,WADMKC_Buahdua_polygon_0
73,WADMKC_Bungbulang_polygon_0
74,WADMKC_Bungursari_polygon_0
75,WADMKC_Bungursari_polygon_1
76,WADMKC_Cabangbungin_polygon_0
77,WADMKC_Campaka_polygon_0
78,WADMKC_Campaka_polygon_1
79,WADMKC_Campakamulya_polygon_0
80,WADMKC_Cangkuang_polygon_0
81,WADMKC_Cantigi_polygon_0
82,WADMKC_Caringin_polygon_0
83,WADMKC_Caringin_polygon_1
84,WADMKC_Caringin_polygon_2
85,WADMKC_Cariu_polygon_0
86,WADMKC_Ciambar_polygon_0
87,WADMKC_Ciamis_polygon_0
88,WADMKC_Ciampea_polygon_0
89,WADMKC_Ciampel_polygon_0
90,WADMKC_Cianjur_polygon_0
91,WADMKC_Ciasem_polygon_0
92,WADMKC_Ciater_polygon_0
93,WADMKC_Ciawi_polygon_0
94,WADMKC_Ciawi_polygon_1
95,WADMKC_Ciawigebang_polygon_0
96,WADMKC_Ciawigebang_polygon_1
97,WADMKC_Cibadak_polygon_0
98,WADMKC_Cibalong_polygon_0
99,WADMKC_Cibalong_polygon_1
100,WADMKC_Cibalong_polygon_2
101,WADMKC_Cibalong_polygon_3
102,WADMKC_Cibalong_polygon_4
103,WADMKC_Cibalong_polygon_5
104,WADMKC_Cibalong_polygon_6
105,WADMKC_Cibarusah_polygon_0
106,WADMKC_Cibatu_polygon_0
107,WADMKC_Cibatu_polygon_1
108,WADMKC_Cibeber_polygon_0
109,WADMKC_Cibeunying Kaler_polygon_0
110,WADMKC_Cibeunying Kidul_polygon_0
111,WADMKC_Cibeureum_polygon_0
112,WADMKC_Cibeureum_polygon_1
113,WADMKC_Cibeureum_polygon_2
114,WADMKC_Cibingbin_polygon_0
115,WADMKC_Cibinong_polygon_0
116,WADMKC_Cibinong_polygon_1
117,WADMKC_Cibiru_polygon_0
118,WADMKC_Cibitung_polygon_0
119,WADMKC_Cibitung_polygon_1
120,WADMKC_Cibitung_polygon_2
121,WADMKC_Cibitung_polygon_3
122,WADMKC_Cibiuk_polygon_0
123,WADMKC_Cibogo_polygon_0
124,WADMKC_Cibuaya_polygon_0
125,WADMKC_Cibugel_polygon_0
126,WADMKC_Cibungbulang_polygon_0
127,WADMKC_Cicalengka_polygon_0
128,WADMKC_Cicantayan_polygon_0
129,WADMKC_Cicendo_polygon_0
130,WADMKC_Cicurug_polygon_0
131,WADMKC_Cidadap_polygon_0
132,WADMKC_Cidadap_polygon_1
133,WADMKC_Cidahu_polygon_0
134,WADMKC_Cidahu_polygon_1
135,WADMKC_Cidaun_polygon_0
136,WADMKC_Cidolog_polygon_0
137,WADMKC_Cidolog_polygon_1
138,WADMKC_Ciemas_polygon_0
139,WADMKC_Ciemas_polygon_1
140,WADMKC_Ciemas_polygon_10
141,WADMKC_Ciemas_polygon_11
142,WADMKC_Ciemas_polygon_12
143,WADMKC_Ciemas_polygon_2
144,WADMKC_Ciemas_polygon_3
145,WADMKC_Ciemas_polygon_4
146,WADMKC_Ciemas_polygon_5
147,WADMKC_Ciemas_polygon_6
148,WADMKC_Ciemas_polygon_7
149,WADMKC_Ciemas_polygon_8
150,WADMKC_Ciemas_polygon_9
151,WADMKC_Cigalontang_polygon_0
152,WADMKC_Cigandamekar_polygon_0
153,WADMKC_Cigasong_polygon_0
154,WADMKC_Cigedug_polygon_0
155,WADMKC_Cigombong_polygon_0
156,WADMKC_Cigudeg_polygon_0
157,WADMKC_Cigugur_polygon_0
158,WADMKC_Cigugur_polygon_1
159,WADMKC_Cihampelas_polygon_0
160,WADMKC_Cihaurbeuti_polygon_0
161,WADMKC_Cihideung_polygon_0
162,WADMKC_Cihurip_polygon_0
163,WADMKC_Cijambe_polygon_0
164,WADMKC_Cijati_polygon_0
165,WADMKC_Cijeruk_polygon_0
166,WADMKC_Cijeungjing_polygon_0
167,WADMKC_Cijulang_polygon_0
168,WADMKC_Cijulang_polygon_1
169,WADMKC_Cijulang_polygon_2
170,WADMKC_Cikadu_polygon_0
171,WADMKC_Cikajang_polygon_0
172,WADMKC_Cikakak_polygon_0
173,WADMKC_Cikalong_polygon_0
174,WADMKC_Cikalong_polygon_1
175,WADMKC_Cikalong_polygon_2
176,WADMKC_Cikalong_polygon_3
177,WADMKC_Cikalong_polygon_4
178,WADMKC_Cikalongkulon_polygon_0
179,WADMKC_Cikalongwetan_polygon_0
180,WADMKC_Cikampek_polygon_0
181,WADMKC_Cikancung_polygon_0
182,WADMKC_Cikarang Barat_polygon_0
183,WADMKC_Cikarang Pusat_polygon_0
184,WADMKC_Cikarang Selatan_polygon_0
185,WADMKC_Cikarang Timur_polygon_0
186,WADMKC_Cikarang Utara_polygon_0
187,WADMKC_Cikatomas_polygon_0
188,WADMKC_Cikaum_polygon_0
189,WADMKC_Cikedung_polygon_0
190,WADMKC_Cikelet_polygon_0
191,WADMKC_Cikembar_polygon_0
192,WADMKC_Cikidang_polygon_0
193,WADMKC_Cikijing_polygon_0
194,WADMKC_Cikole_polygon_0
195,WADMKC_Cikoneng_polygon_0
196,WADMKC_Cilaku_polygon_0
197,WADMKC_Cilamaya Kulon_polygon_0
198,WADMKC_Cilamaya Wetan_polygon_0
199,WADMKC_Cilawu_polygon_0
200,WADMKC_Cilebak_polygon_0
201,WADMKC_Cilebak_polygon_1
202,WADMKC_Cilebar_polygon_0
203,WADMKC_Ciledug_polygon_0
204,WADMKC_Cilengkrang_polygon_0
205,WADMKC_Cileungsi_polygon_0
206,WADMKC_Cileunyi_polygon_0
207,WADMKC_Cililin_polygon_0
208,WADMKC_Cilimus_polygon_0
209,WADMKC_Cilodong_polygon_0
210,WADMKC_Cimahi Selatan_polygon_0
211,WADMKC_Cimahi Tengah_polygon_0
212,WADMKC_Cimahi Utara_polygon_0
213,WADMKC_Cimahi_polygon_0
214,WADMKC_Cimalaka_polygon_0
215,WADMKC_Cimanggis_polygon_0
216,WADMKC_Cimanggu_polygon_0
217,WADMKC_Cimanggung_polygon_0
218,WADMKC_Cimaragas_polygon_0
219,WADMKC_Cimaung_polygon_0
220,WADMKC_Cimenyan_polygon_0
221,WADMKC_Cimerak_polygon_0
222,WADMKC_Cimerak_polygon_1
223,WADMKC_Cimerak_polygon_2
224,WADMKC_Cimerak_polygon_3
225,WADMKC_Cimerak_polygon_4
226,WADMKC_Cimerak_polygon_5
227,WADMKC_Cinambo_polygon_0
228,WADMKC_Cineam_polygon_0
229,WADMKC_Cinere_polygon_0
230,WADMKC_Cingambul_polygon_0
231,WADMKC_Ciniru_polygon_0
232,WADMKC_Ciomas_polygon_0
233,WADMKC_Cipaku_polygon_0
234,WADMKC_Cipanas_polygon_0
235,WADMKC_Ciparay_polygon_0
236,WADMKC_Cipatat_polygon_0
237,WADMKC_Cipatujah_polygon_0
238,WADMKC_Cipayung_polygon_0
239,WADMKC_Cipedes_polygon_0
240,WADMKC_Cipeundeuy_polygon_0
241,WADMKC_Cipeundeuy_polygon_1
242,WADMKC_Cipicung_polygon_0
243,WADMKC_Cipongkor_polygon_0
244,WADMKC_Cipunagara_polygon_0
245,WADMKC_Ciracap_polygon_0
246,WADMKC_Ciracap_polygon_1
247,WADMKC_Ciracap_polygon_2
248,WADMKC_Ciracap_polygon_3
249,WADMKC_Ciranjang_polygon_0
250,WADMKC_Cireunghas_polygon_0
251,WADMKC_Cisaat_polygon_0
252,WADMKC_Cisaga_polygon_0
253,WADMKC_Cisalak_polygon_0
254,WADMKC_Cisarua_polygon_0
255,WADMKC_Cisarua_polygon_1
256,WADMKC_Cisarua_polygon_2
257,WADMKC_Cisayong_polygon_0
258,WADMKC_Ciseeng_polygon_0
259,WADMKC_Cisewu_polygon_0
260,WADMKC_Cisitu_polygon_0
261,WADMKC_Cisolok_polygon_0
262,WADMKC_Cisolok_polygon_1
263,WADMKC_Cisompet_polygon_0
264,WADMKC_Cisurupan_polygon_0
265,WADMKC_Citamiang_polygon_0
266,WADMKC_Citeureup_polygon_0
267,WADMKC_Ciwaringin_polygon_0
268,WADMKC_Ciwaru_polygon_0
269,WADMKC_Ciwaru_polygon_1
270,WADMKC_Ciwidey_polygon_0
271,WADMKC_Coblong_polygon_0
272,WADMKC_Compreng_polygon_0
273,WADMKC_Conggeang_polygon_0
274,WADMKC_Cugenang_polygon_0
275,WADMKC_Culamega_polygon_0
276,WADMKC_Curugkembar_polygon_0
277,WADMKC_Darangdan_polygon_0
278,WADMKC_Darma_polygon_0
279,WADMKC_Darmaraja_polygon_0
280,WADMKC_Dawuan_polygon_0
281,WADMKC_Dawuan_polygon_1
282,WADMKC_Dayeuhkolot_polygon_0
283,WADMKC_Depok_polygon_0
284,WADMKC_Dramaga_polygon_0
285,WADMKC_Dukupuntang_polygon_0
286,WADMKC_Gabuswetan_polygon_0
287,WADMKC_Ganeas_polygon_0
288,WADMKC_Gantar_polygon_0
289,WADMKC_Garawangi_polygon_0
290,WADMKC_Garut Kota_polygon_0
291,WADMKC_Gebang_polygon_0
292,WADMKC_Gedebage_polygon_0
293,WADMKC_Gegerbitung_polygon_0
294,WADMKC_Gegesik_polygon_0
295,WADMKC_Gekbrong_polygon_0
296,WADMKC_Gempol_polygon_0
297,WADMKC_Greged_polygon_0
298,WADMKC_Gunung Jati_polygon_0
299,WADMKC_Gunung Putri_polygon_0
300,WADMKC_Gunung Puyuh_polygon_0
301,WADMKC_Gunung Sindur_polygon_0
302,WADMKC_Gunungguruh_polygon_0
303,WADMKC_Gununghalu_polygon_0
304,WADMKC_Gunungtanjung_polygon_0
305,WADMKC_Hantara_polygon_0
306,WADMKC_Harjamukti_polygon_0
307,WADMKC_Haurgeulis_polygon_0
308,WADMKC_Haurwangi_polygon_0
309,WADMKC_Ibun_polygon_0
310,WADMKC_Indihiang_polygon_0
311,WADMKC_Indramayu_polygon_0
312,WADMKC_Jalaksana_polygon_0
313,WADMKC_Jalancagak_polygon_0
314,WADMKC_Jamanis_polygon_0
315,WADMKC_Jamblang_polygon_0
316,WADMKC_Jampangkulon_polygon_0
317,WADMKC_Jampangtengah_polygon_0
318,WADMKC_Japara_polygon_0
319,WADMKC_Jasinga_polygon_0
320,WADMKC_Jatiasih_polygon_0
321,WADMKC_Jatibarang_polygon_0
322,WADMKC_Jatigede_polygon_0
323,WADMKC_Jatiluhur_polygon_0
324,WADMKC_Jatinagara_polygon_0
325,WADMKC_Jatinangor_polygon_0
326,WADMKC_Jatinunggal_polygon_0
327,WADMKC_Jatisampurna_polygon_0
328,WADMKC_Jatisari_polygon_0
329,WADMKC_Jatitujuh_polygon_0
330,WADMKC_Jatiwangi_polygon_0
331,WADMKC_Jatiwaras_polygon_0
332,WADMKC_Jayakerta_polygon_0
333,WADMKC_Jonggol_polygon_0
334,WADMKC_Juntinyuat_polygon_0
335,WADMKC_Kabandungan_polygon_0
336,WADMKC_Kadipaten_polygon_0
337,WADMKC_Kadipaten_polygon_1
338,WADMKC_Kadudampit_polygon_0
339,WADMKC_Kadugede_polygon_0
340,WADMKC_Kadungora_polygon_0
341,WADMKC_Kadupandak_polygon_0
342,WADMKC_Kalapanunggal_polygon_0
343,WADMKC_Kalibunder_polygon_0
344,WADMKC_Kalijati_polygon_0
345,WADMKC_Kalimanggis_polygon_0
346,WADMKC_Kalipucang_polygon_0
347,WADMKC_Kaliwedi_polygon_0
348,WADMKC_Kandanghaur_polygon_0
349,WADMKC_Kapetakan_polygon_0
350,WADMKC_Karang Bahagia_polygon_0
351,WADMKC_Karang Kancana_polygon_0
